,index,player,matchNum,positions,shots,shotsOnTarget,goals,passCompletion,keyPasses,assists,successfulDribbles,tackles,interceptions,penaltiesWon,ownGoal,foulCommitted,penaltyConceded,poorShots,dispossessed,dispossessedOwnHalf,miscontrol,miscontrolOwnHalf,errors,yellowCard,redCard,blocks,clearances,headedClearance,recoveries,dribbledPast,match_id,match_date,home_team,away_team,competition_stage,is_attacker,is_midfielder,is_defender,predicted_rating
50,54,Abdessamad Ezzalzouli,3869552,['Left Midfield'],1,0,0,100.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3869552,2022-12-14,France,Morocco,Semi-finals,0,1,0,6.9
53,28,Sofyan Amrabat,3869552,"['Right Defensive Midfield', 'Center Defensive Midfield']",1,0,0,85.0,1,0,0,2,0,0,0,3,0,1,0,0,2,1,0,0,0,1,3,3,5,4,3869552,2022-12-14,France,Morocco,Semi-finals,0,1,0,7.0
52,41,Youssouf Fofana,3869552,"['Left Defensive Midfield', 'Left Center Midfield']",2,0,0,84.0,0,0,1,3,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,4,0,3869552,2022-12-14,France,Morocco,Semi-finals,0,1,0,7.1
11,47,Olivier Giroud,3869552,['Center Forward'],3,0,0,47.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,3869552,2022-12-14,France,Morocco,Semi-finals,1,0,0,6.4
54,32,Azzedine Ounahi,3869552,"['Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']",4,1,0,85.0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,8,0,3869552,2022-12-14,France,Morocco,Semi-finals,0,1,0,7.5
55,35,Antoine Griezmann,3869552,"['Center Attacking Midfield', 'Right Center Midfield']",0,0,0,77.0,4,0,1,1,0,0,0,0,0,0,3,1,2,0,0,0,0,1,3,2,4,0,3869552,2022-12-14,France,Morocco,Semi-finals,0,1,0,7.2
56,39,Hakim Ziyech,3869552,"['Right Wing', 'Right Midfield']",1,0,0,76.0,0,0,0,0,0,0,0,0,0,1,5,0,2,1,0,0,0,0,0,0,5,1,3869552,2022-12-14,France,Morocco,Semi-finals,1,1,0,5.9
51,34,Aurélien Djani Tchouaméni,3869552,"['Right Defensive Midfield', 'Center Defensive Midfield']",1,0,0,91.0,2,0,0,1,0,0,0,0,0,0,2,2,1,1,0,0,0,1,4,1,7,1,3869552,2022-12-14,France,Morocco,Semi-finals,0,1,0,7.3
12,51,Marcus Thuram,3869552,['Left Wing'],1,0,0,60.0,2,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,3869552,2022-12-14,France,Morocco,Semi-finals,1,0,0,6.7
91,29,Achraf Dari,3869552,['Right Center Back'],0,0,0,91.0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,4,6,6,6,1,3869552,2022-12-14,France,Morocco,Semi-finals,0,0,1,7.0
93,37,Jules Koundé,3869552,['Right Back'],1,0,0,90.0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,3,2,0,3,2,3869552,2022-12-14,France,Morocco,Semi-finals,0,0,1,6.8
94,38,Noussair Mazraoui,3869552,"['Left Wing Back', 'Left Back']",0,0,0,91.0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,3869552,2022-12-14,France,Morocco,Semi-finals,0,0,1,6.8
14,52,Zakaria Aboukhlal,3869552,"['Left Wing', 'Left Center Forward']",1,0,0,67.0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,3869552,2022-12-14,France,Morocco,Semi-finals,1,0,0,6.2
92,30,Jawad El Yamiq,3869552,['Left Center Back'],1,0,0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,3869552,2022-12-14,France,Morocco,Semi-finals,0,0,1,7.1
18,39,Hakim Ziyech,3869552,"['Right Wing', 'Right Midfield']",1,0,0,76.0,0,0,0,0,0,0,0,0,0,1,5,0,2,1,0,0,0,0,0,0,5,1,3869552,2022-12-14,France,Morocco,Semi-finals,1,1,0,6.0
89,42,Theo Bernard François Hernández,3869552,['Left Back'],1,1,1,74.0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,3869552,2022-12-14,France,Morocco,Semi-finals,0,0,1,8.5
90,40,Achraf Hakimi Mouh,3869552,"['Right Wing Back', 'Right Back']",1,0,0,88.0,0,0,0,2,0,0,0,1,0,0,2,0,4,0,0,0,0,1,1,1,9,2,3869552,2022-12-14,France,Morocco,Semi-finals,0,0,1,7.1
87,44,Raphaël Varane,3869552,['Right Center Back'],1,0,0,93.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,3869552,2022-12-14,France,Morocco,Semi-finals,0,0,1,6.7
86,43,Ibrahima Konaté,3869552,['Left Center Back'],0,0,0,92.0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,4,4,1,3,0,3869552,2022-12-14,France,Morocco,Semi-finals,0,0,1,6.7
17,36,Ousmane Dembélé,3869552,['Right Wing'],0,0,0,74.0,0,0,2,1,0,0,0,2,0,0,2,0,1,0,0,0,0,2,0,0,1,1,3869552,2022-12-14,France,Morocco,Semi-finals,1,0,0,6.4
16,33,Sofiane Boufal,3869552,['Left Wing'],1,0,0,70.0,1,0,0,1,0,0,0,2,0,1,0,0,3,0,0,1,0,1,0,0,0,0,3869552,2022-12-14,France,Morocco,Semi-finals,1,0,0,6.3
15,53,Randal Kolo Muani,3869552,['Right Wing'],1,1,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3869552,2022-12-14,France,Morocco,Semi-finals,1,0,0,7.3
88,49,Yahia Attiyat allah,3869552,['Left Back'],1,0,0,73.0,1,0,0,1,0,0,0,3,0,1,3,1,0,0,0,0,0,0,0,0,2,1,3869552,2022-12-14,France,Morocco,Semi-finals,0,0,1,6.4
100,56,Joško Gvardiol,3869684,['Left Center Back'],1,1,1,91.0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,5,2,4,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,0,1,7.9
102,58,Josip Šutalo,3869684,['Right Center Back'],0,0,0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,4,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,0,1,7.0
101,57,Josip Stanišić,3869684,['Right Back'],1,0,0,73.0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,3,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,0,1,7.1
99,68,Yahia Attiyat allah,3869684,['Left Back'],0,0,0,78.0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,6,1,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,0,1,7.0
104,66,Jawad El Yamiq,3869684,['Right Center Back'],0,0,0,89.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,5,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,0,1,7.0
97,69,Achraf Dari,3869684,['Left Center Back'],1,1,1,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,1,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,0,1,7.8
96,77,Badr Banoun,3869684,"['Left Center Back', 'Right Center Back']",0,0,0,100.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,0,1,6.4
95,74,Sofyan Amrabat,3869684,"['Center Defensive Midfield', 'Left Center Back']",0,0,0,87.0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,4,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,1,1,6.3
98,67,Achraf Hakimi Mouh,3869684,['Right Back'],0,0,0,86.0,3,0,0,1,0,0,0,2,0,0,3,1,2,0,0,0,0,0,1,0,4,2,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,0,1,6.6
103,63,Ivan Perišić,3869684,['Left Back'],0,0,0,82.0,2,1,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,3,2,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,0,1,8.2
57,75,Ilias Chair,3869684,"['Right Wing', 'Right Center Midfield']",0,0,0,87.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,1,0,6.3
61,76,Azzedine Ounahi,3869684,"['Left Center Midfield', 'Center Defensive Midfield']",0,0,0,92.0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,1,0,6.6
27,64,Lovro Majer,3869684,"['Right Wing', 'Center Attacking Midfield']",0,0,0,78.0,1,0,0,0,0,0,0,3,0,0,3,1,3,0,0,0,0,1,1,1,4,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,0,0,6.2
65,59,Luka Modrić,3869684,['Right Defensive Midfield'],1,1,0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,1,0,6.8
26,62,Andrej Kramarić,3869684,"['Center Attacking Midfield', 'Right Wing']",1,1,0,75.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,0,0,6.6
25,60,Marko Livaja,3869684,['Center Forward'],1,0,0,62.0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,0,0,7.1
24,80,Bruno Petković,3869684,['Center Forward'],0,0,0,31.0,0,0,0,1,0,0,0,2,0,0,2,2,0,0,0,0,0,2,0,0,1,2,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,0,0,6.2
23,79,Nikola Vlašić,3869684,['Right Wing'],1,0,0,62.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,0,0,6.4
22,78,Anass Zaroury,3869684,['Left Wing'],0,0,0,83.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,0,0,6.5
21,71,Sofiane Boufal,3869684,['Left Wing'],1,0,0,78.0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,3,0,0,1,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,0,0,6.4
20,73,Hakim Ziyech,3869684,"['Right Wing', 'Right Center Midfield']",2,0,0,76.0,1,0,4,1,0,0,0,1,0,2,1,0,2,1,0,0,0,2,0,0,3,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,1,0,6.9
58,72,Abdelhamid Sabiri,3869684,['Left Center Midfield'],0,0,0,90.0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,3,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,1,0,6.4
59,73,Hakim Ziyech,3869684,"['Right Wing', 'Right Center Midfield']",2,0,0,76.0,1,0,4,1,0,0,0,1,0,2,1,0,2,1,0,0,0,2,0,0,3,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,1,0,7.0
60,74,Sofyan Amrabat,3869684,"['Center Defensive Midfield', 'Left Center Back']",0,0,0,87.0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,4,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,1,1,6.4
29,61,Mislav Oršić,3869684,['Left Wing'],5,1,1,73.0,1,0,0,2,0,0,0,3,0,2,0,0,4,0,0,0,0,2,0,0,2,2,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,0,0,8.0
62,81,Selim Amallah,3869684,['Left Center Midfield'],0,0,0,69.0,0,0,1,2,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,1,2,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,1,0,6.8
63,70,Bilal El Khannous,3869684,"['Right Center Midfield', 'Left Center Midfield']",0,0,0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,1,0,6.6
64,55,Mateo Kovačić,3869684,['Left Defensive Midfield'],1,0,0,91.0,1,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,3,1,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,0,1,0,7.3
19,75,Ilias Chair,3869684,"['Right Wing', 'Right Center Midfield']",0,0,0,87.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,1,0,6.2
28,65,Youssef En-Nesyri,3869684,['Center Forward'],5,1,0,75.0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,1,1,1,3,0,3869684,2022-12-17,Croatia,Morocco,3rd Place Final,1,0,0,6.5
105,102,Dayotchanculle Upamecano,3869685,['Left Center Back'],0,0,0,80.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,2,0,3869685,2022-12-18,Argentina,France,Final,0,0,1,6.8
106,106,Eduardo Camavinga,3869685,['Left Back'],0,0,0,88.0,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3869685,2022-12-18,Argentina,France,Final,0,0,1,7.5
107,108,Gonzalo Ariel Montiel,3869685,"['Right Back', 'Right Wing Back']",1,0,0,62.0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,1,2,2,3869685,2022-12-18,Argentina,France,Final,0,0,1,6.4
108,90,Theo Bernard François Hernández,3869685,['Left Back'],0,0,0,78.0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,0,2,1,0,1,0,3869685,2022-12-18,Argentina,France,Final,0,0,1,6.6
109,93,Jules Koundé,3869685,['Right Back'],0,0,0,78.0,0,0,1,3,0,0,0,2,0,0,1,1,2,2,0,0,0,3,4,1,3,2,3869685,2022-12-18,Argentina,France,Final,0,0,1,6.6
110,92,Raphaël Varane,3869685,['Right Center Back'],0,0,0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,0,3869685,2022-12-18,Argentina,France,Final,0,0,1,6.9
111,89,Nicolás Alejandro Tagliafico,3869685,"['Left Back', 'Left Wing Back']",0,0,0,79.0,1,0,0,4,0,0,0,3,0,0,1,1,0,0,0,0,0,1,2,0,3,0,3869685,2022-12-18,Argentina,France,Final,0,0,1,7.1
112,88,Nicolás Hernán Otamendi,3869685,['Left Center Back'],0,0,0,92.0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,4,2,5,0,3869685,2022-12-18,Argentina,France,Final,0,0,1,6.2
66,109,Youssouf Fofana,3869685,['Left Defensive Midfield'],1,0,0,82.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,3869685,2022-12-18,Argentina,France,Final,0,1,0,6.6
33,103,Randal Kolo Muani,3869685,"['Right Wing', 'Right Center Forward']",2,1,0,73.0,0,0,1,3,0,1,0,3,0,1,5,1,3,0,0,0,0,0,0,0,3,0,3869685,2022-12-18,Argentina,France,Final,1,0,0,6.8
31,100,Ousmane Dembélé,3869685,['Right Wing'],0,0,0,69.0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,2,3869685,2022-12-18,Argentina,France,Final,1,0,0,6.0
67,105,Marcos Javier Acuña,3869685,"['Left Wing', 'Left Center Midfield', 'Left Wing Back']",0,0,0,68.0,2,0,0,1,0,0,0,2,0,0,3,3,1,0,0,1,0,3,1,1,2,1,3869685,2022-12-18,Argentina,France,Final,1,1,0,6.5
68,107,Kingsley Coman,3869685,"['Right Midfield', 'Center Attacking Midfield']",0,0,0,33.0,0,0,4,2,0,0,0,0,0,0,4,3,1,0,0,0,0,3,0,0,3,1,3869685,2022-12-18,Argentina,France,Final,0,1,0,6.5
69,98,Enzo Fernandez,3869685,"['Center Defensive Midfield', 'Right Center Midfield']",2,1,0,84.0,1,0,1,5,0,0,0,4,0,0,3,1,2,1,0,1,0,2,4,4,5,7,3869685,2022-12-18,Argentina,France,Final,0,1,0,7.5
70,104,Marcus Thuram,3869685,"['Left Wing', 'Center Forward', 'Left Midfield']",0,0,0,68.0,0,1,2,1,0,0,0,2,0,0,1,0,5,2,0,1,0,2,2,2,5,0,3869685,2022-12-18,Argentina,France,Final,1,1,0,7.7
71,94,Alexis Mac Allister,3869685,['Left Center Midfield'],3,1,0,87.0,0,1,2,1,0,0,0,0,0,2,3,1,1,0,0,0,0,6,1,1,9,1,3869685,2022-12-18,Argentina,France,Final,0,1,0,8.1
72,91,Adrien Rabiot,3869685,['Left Defensive Midfield'],1,1,0,84.0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,3,2,2,4,2,3869685,2022-12-18,Argentina,France,Final,0,1,0,6.7
73,86,Rodrigo Javier De Paul,3869685,['Right Center Midfield'],2,1,0,84.0,1,0,1,0,0,0,0,2,0,0,1,1,3,2,0,0,0,1,0,0,3,2,3869685,2022-12-18,Argentina,France,Final,0,1,0,6.7
74,84,Aurélien Djani Tchouaméni,3869685,['Right Defensive Midfield'],0,0,0,81.0,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,9,1,3869685,2022-12-18,Argentina,France,Final,0,1,0,7.2
75,110,Leandro Daniel Paredes,3869685,['Center Defensive Midfield'],0,0,0,100.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3869685,2022-12-18,Argentina,France,Final,0,1,0,6.7
113,87,Cristian Gabriel Romero,3869685,['Right Center Back'],0,0,0,85.0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,9,6,4,3,3869685,2022-12-18,Argentina,France,Final,0,0,1,7.0
39,111,Lautaro Javier Martínez,3869685,"['Center Forward', 'Left Center Forward']",4,1,0,71.0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3869685,2022-12-18,Argentina,France,Final,1,0,0,6.5
38,96,Ángel Fabián Di María Hernández,3869685,['Left Wing'],2,1,1,86.0,4,0,5,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,2,2,3869685,2022-12-18,Argentina,France,Final,1,0,0,8.7
37,95,Lionel Andrés Messi Cuccittini,3869685,"['Right Wing', 'Right Center Forward']",5,4,2,82.0,2,0,0,1,0,0,0,2,0,1,6,1,3,0,0,0,0,1,1,0,5,0,3869685,2022-12-18,Argentina,France,Final,1,0,0,8.7
36,97,Olivier Giroud,3869685,['Center Forward'],0,0,0,56.00000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3869685,2022-12-18,Argentina,France,Final,1,0,0,6.2
