player,fotmobRating,matchNum,positions,shots,shotsOnTarget,goals,passCompletion,keyPasses,assists,successfulDribbles,tackles,interceptions,penaltiesWon,ownGoal,foulCommitted,penaltyConceded,poorShots,dispossessed,dispossessedOwnHalf,miscontrol,miscontrolOwnHalf,errors,yellowCard,redCard,match_id,match_date,home_team,away_team,competition_stage
Abdullah Ibrahim Otayf,5.8,7525,['Center Defensive Midfield'],0,0,0,87,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Mohammad Ibrahim Al Sahlawi,5.7,7525,"['Center Forward', 'Right Center Forward']",1,0,0,70,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Salman Mohammed Al Faraj,7.5,7525,['Left Center Midfield'],0,0,0,89,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Salem Mohammed Al Dawsari,6.7,7525,['Left Midfield'],2,0,0,93,1,0,0,3,0,0,0,0,0,2,6,1,4,1,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Yasir Gharsan Al Shahrani,5.2,7525,['Left Back'],2,0,0,71,1,0,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Yehya Sulaiman Ali Al-Shehri,5.5,7525,['Right Midfield'],0,0,0,87,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Aleksandr Samedov,7,7525,['Right Midfield'],2,0,0,84,1,0,1,1,0,0,0,2,0,1,1,0,1,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Fyodor Smolov,5.8,7525,['Center Forward'],0,0,0,65,2,0,1,0,0,0,0,2,0,0,6,1,4,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Taisir Jabir Al Jassim,5.8,7525,['Right Center Midfield'],0,0,0,86,1,0,0,1,0,0,0,4,0,0,3,1,2,1,0,1,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Sergei Ignashevich,7.8,7525,['Left Center Back'],0,0,0,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Omar Ibrahim Omar Othman Hawsawi,6.1,7525,['Left Center Back'],0,0,0,76,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Mário Figueira Fernandes,7.5,7525,['Right Back'],0,0,0,81,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Roman Zobnin,8.5,7525,"['Right Center Midfield', 'Left Center Midfield']",2,1,0,54,1,1,0,3,0,0,0,1,0,1,2,0,1,1,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Yuri Zhirkov,7.3,7525,['Left Back'],1,0,0,61,0,0,1,2,0,0,0,2,0,0,1,1,1,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Osama Abdulrezag Hawsawi,5.2,7525,['Right Center Back'],0,0,0,82,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Mohammed Al Burayk,4.8,7525,['Right Back'],0,0,0,81,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Yury Gazinskiy,8.3,7525,"['Left Center Midfield', 'Right Center Midfield']",1,1,1,81,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Aleksandr Golovin,9.3,7525,"['Left Midfield', 'Center Attacking Midfield']",1,1,1,67,2,2,1,0,0,0,0,6,0,0,5,0,0,0,0,1,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Denis Cheryshev,9,7525,['Left Midfield'],4,3,2,67,0,0,3,2,0,0,0,4,0,0,1,0,0,0,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Ilya Kutepov,7.1,7525,['Right Center Back'],0,0,0,74,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,7525,6/14/2018,Russia,Saudi Arabia,Group Stage
Ramin Rezaeian,7.1,7577,['Right Back'],0,0,0,57,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Vahid Amiri,6.4,7577,['Left Center Midfield'],0,0,0,62,1,0,1,1,0,0,0,3,0,0,0,0,2,0,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Amine Harit,6.7,7577,['Left Wing'],3,1,0,73,2,0,8,0,0,0,0,1,0,2,3,0,0,0,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Achraf Hakimi Mouh,6.7,7577,"['Left Back', 'Left Wing Back']",1,0,0,89,2,0,1,1,0,0,0,1,0,0,2,0,2,0,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Mbark Boussoufa,7.1,7577,['Left Center Midfield'],0,0,0,78,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Alireza Jahanbakhsh,7.6,7577,['Right Midfield'],2,1,0,45,0,0,3,3,0,0,0,2,0,1,1,1,0,0,0,1,0,7577,6/15/2018,Morocco,Iran,Group Stage
Morteza Pouraliganji,6.8,7577,['Right Center Back'],0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Sardar Azmoun,7,7577,['Center Forward'],2,1,0,48,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Omid Ebrahimi,7.2,7577,['Center Defensive Midfield'],1,0,0,72,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Karim El Ahmadi Al Aroos,6.6,7577,['Right Center Midfield'],0,0,0,81,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,0,7577,6/15/2018,Morocco,Iran,Group Stage
Hakim Ziyech,6.9,7577,['Right Wing'],3,1,0,78,1,0,1,1,0,0,0,5,0,0,0,0,1,1,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Ehsan Hajsafi,7.1,7577,['Left Back'],2,0,0,38,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Karim Ansarifard,6.5,7577,['Left Midfield'],0,0,0,50,1,0,0,1,0,0,0,2,0,0,1,1,1,0,0,1,0,7577,6/15/2018,Morocco,Iran,Group Stage
Masoud Shojaei Soleimani,6.6,7577,['Right Center Midfield'],0,0,0,53,0,0,2,2,0,0,0,4,0,0,2,0,1,0,0,1,0,7577,6/15/2018,Morocco,Iran,Group Stage
Diego da Silva Costa,8.7,7576,['Center Forward'],3,2,2,100,1,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Roozbeh Cheshmi,6.7,7577,['Left Center Back'],1,0,0,73,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Nordin Amrabat,7,7577,['Right Back'],0,0,0,74,2,0,4,0,0,0,0,4,0,0,1,0,1,0,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Edinson Roberto Cavani Gómez,7.5,7578,['Left Center Forward'],5,2,0,93,1,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
José María Giménez de Vargas,8.9,7578,['Right Center Back'],3,1,1,80,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Mohamed Abdul Shafy Sayed Abouezeid,7.1,7578,['Left Back'],0,0,0,75,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Jordi Alba Ramos,6.9,7576,['Left Back'],0,0,0,86,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Cédric Ricardo Alves Soares,5.9,7576,['Right Back'],0,0,0,68,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Kléper Laveran Lima Ferreira,5.9,7576,['Right Center Back'],1,0,0,86,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Raphaël Adelino José Guerreiro,6.1,7576,['Left Back'],0,0,0,77,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
William Silva de Carvalho,7.1,7576,['Left Center Midfield'],0,0,0,90,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Cristiano Ronaldo dos Santos Aveiro,9.7,7576,['Left Center Forward'],5,3,3,94,1,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Bruno Miguel Borges Fernandes,6.3,7576,['Left Midfield'],1,0,0,79,0,0,0,1,0,0,0,1,0,1,2,1,1,0,0,1,0,7576,6/15/2018,Portugal,Spain,Group Stage
José Miguel da Rocha Fonte,5.9,7576,['Left Center Back'],0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Gonçalo Manuel Ganchinho Guedes,7.2,7576,['Right Center Forward'],1,0,0,83,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
João Filipe Iria Santos Moutinho,7,7576,['Right Center Midfield'],0,0,0,97,2,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
José Ignacio Fernández Iglesias,7.7,7576,['Right Back'],1,1,1,93,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
David Josué Jiménez Silva,7.6,7576,['Right Wing'],3,0,0,89,3,0,3,1,0,0,0,2,0,1,0,0,0,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Jorge Resurrección Merodio,7.1,7576,['Right Center Midfield'],0,0,0,89,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Sergio Busquets i Burgos,7.5,7576,['Center Defensive Midfield'],1,0,0,94,0,1,0,1,0,0,0,2,0,1,1,1,1,1,0,1,0,7576,6/15/2018,Portugal,Spain,Group Stage
Francisco Román Alarcón Suárez,7.2,7576,['Left Wing'],2,1,0,89,0,0,3,0,0,0,0,0,0,0,3,0,1,1,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Andrés Iniesta Luján,6.7,7576,['Left Center Midfield'],1,0,0,91,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Bernardo Mota Veiga de Carvalho e Silva,7.1,7576,['Right Wing'],0,0,0,84,0,0,1,0,0,0,0,2,0,0,1,0,4,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Younès Belhanda,6.8,7577,"['Center Attacking Midfield', 'Left Wing']",3,0,0,88,1,0,1,0,0,0,0,1,0,1,2,0,2,0,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Gerard Piqué Bernabéu,6.2,7576,['Right Center Back'],0,0,0,94,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Ahmed Fathy Abdel Meneim Ibrahim,7,7578,['Right Back'],1,1,0,78,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Matías Vecino Falero,7.7,7578,['Right Center Midfield'],1,0,0,84,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Diego Roberto Godín Leal,8.2,7578,['Left Center Back'],0,0,0,80,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Rodrigo Bentancur Colmán,8.1,7578,['Left Center Midfield'],0,0,0,90,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Giorgian Daniel De Arrascaeta Benedetti,6.5,7578,['Left Wing'],0,0,0,84,0,0,0,1,0,0,0,1,0,0,2,0,3,1,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
José Martín Cáceres Silva,7.2,7578,['Left Back'],2,0,0,78,0,0,0,0,0,0,0,3,0,1,1,1,1,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Guillermo Varela Olivera,7.6,7578,['Right Back'],0,0,0,89,2,0,1,2,0,0,0,1,0,0,1,1,1,1,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Ahmed Elsayed Ali Elsayed Hegazy,6.8,7578,['Left Center Back'],0,0,0,67,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Sam Morsy,6.6,7578,['Left Center Midfield'],0,0,0,100,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Nahitan Michel Nández Acosta,6.8,7578,['Right Wing'],0,0,0,74,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Ali Gabr,6.6,7578,['Right Center Back'],0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Mohamed Naser Elsayed Elneny,6.5,7578,['Right Center Midfield'],2,0,0,85,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Abdalla Mahmoud El Said Bekhit,6.6,7578,['Center Attacking Midfield'],1,0,0,72,0,0,0,2,0,0,0,1,0,1,1,1,2,1,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Amr Medhat Warda,7.2,7578,['Right Midfield'],0,0,0,52,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Mahmoud Ibrahim Hassan,7.2,7578,['Left Midfield'],2,1,0,85,0,0,1,3,0,0,0,3,0,1,2,0,3,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Tarek Hamed,6.9,7578,['Left Center Midfield'],1,0,0,82,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Marwan Mohsen,5.1,7578,['Center Forward'],1,1,0,62,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Luis Alberto Suárez Díaz,6.9,7578,['Right Center Forward'],4,1,0,72,2,0,1,0,0,0,0,0,0,2,7,0,3,0,0,0,0,7578,6/15/2018,Egypt,Uruguay,Group Stage
Medhi Amine El Mouttaqi Benatia,7.3,7577,['Right Center Back'],1,1,0,84,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Sergio Ramos García,7.1,7576,['Left Center Back'],0,0,0,97,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7576,6/15/2018,Portugal,Spain,Group Stage
Romain Saïss,6.5,7577,['Left Center Back'],1,0,0,85,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Ayoub El Kaabi,5.8,7577,['Center Forward'],1,0,0,50,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,7577,6/15/2018,Morocco,Iran,Group Stage
Leon Aderemi Balogun,6.9,7529,['Left Center Back'],1,1,0,77,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
Ivan Perišić,7.6,7529,"['Right Wing', 'Left Wing']",1,0,0,78,1,0,2,2,0,0,0,0,0,1,1,0,1,1,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
Oghenekaro Etebo,6.8,7529,['Left Center Midfield'],2,0,0,91,2,0,4,1,0,0,0,1,0,2,2,1,0,0,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
John Michael Nchekwube Obinna,6.1,7529,['Center Attacking Midfield'],0,0,0,76,2,0,2,2,0,0,0,1,0,0,4,2,2,1,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
William Troost-Ekong,6.4,7529,['Right Center Back'],0,0,0,75,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
Victor Moses,7.3,7529,['Right Wing'],3,0,0,45,1,0,3,0,0,0,0,2,0,2,2,0,3,1,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
Luka Modrić,8,7529,"['Right Center Midfield', 'Center Attacking Midfield']",1,1,1,80,0,0,0,1,0,0,0,4,0,0,2,1,2,0,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
Ivan Strinić,7.6,7529,['Left Back'],0,0,0,72,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
Brian Oladapo Idowu,6.8,7529,['Left Back'],0,0,0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
Mile Jedinak,7.1,7530,['Right Center Midfield'],1,1,1,79,0,0,0,2,0,0,0,1,0,0,2,2,1,1,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Paul Pogba,7,7530,['Left Center Midfield'],1,1,0,83,1,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Antoine Griezmann,8,7530,['Center Forward'],5,2,1,48,0,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
N'Golo Kanté,8.2,7530,['Center Defensive Midfield'],0,0,0,90,0,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Lucas Hernández Pi,7.8,7530,['Left Back'],2,0,0,75,0,0,2,0,0,0,0,2,0,1,2,0,0,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Ousmane Dembélé,7.2,7530,['Left Wing'],0,0,0,59,1,0,1,2,0,0,0,1,0,0,1,0,2,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Kylian Mbappé Lottin,7,7530,['Right Wing'],1,1,0,90,2,0,4,1,0,0,0,1,0,0,6,0,0,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Josh Risdon,6.3,7530,['Right Back'],1,0,0,57,0,0,1,3,0,0,0,3,1,0,1,0,2,2,0,1,0,7530,6/16/2018,France,Australia,Group Stage
Mark Milligan,6.9,7530,['Left Center Back'],0,0,0,88,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Samuel Yves Umtiti,6.6,7530,['Left Center Back'],1,0,0,96,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Odion Jude Ighalo,5.8,7529,['Center Forward'],3,1,0,83,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
Andrew Nabbout,6.2,7530,['Center Forward'],0,0,0,60,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Trent Sainsbury,6.7,7530,['Right Center Back'],0,0,0,79,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Alfreð Finnbogason,7.8,7531,['Center Forward'],3,1,1,77,0,0,1,0,0,0,0,3,0,2,1,0,2,2,0,0,0,7531,6/16/2018,Argentina,Iceland,Group Stage
Birkir Már Sævarsson,7.2,7531,['Right Back'],0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7531,6/16/2018,Argentina,Iceland,Group Stage
Jefferson Agustín Farfán Guadalupe,6.4,7532,['Center Forward'],3,1,0,83,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Édison Michael Flores Peralta,6.9,7532,['Left Wing'],3,1,0,72,1,0,1,0,0,0,0,0,0,2,1,1,2,1,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Víctor Yoshimar Yotún Flores,6.4,7532,['Left Center Midfield'],1,1,0,84,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Miguel Ángel Trauco Saavedra,6.6,7532,['Left Back'],0,0,0,84,2,0,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Andreas Christensen,7,7532,['Left Center Back'],0,0,0,94,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Christian Dannemann Eriksen,7.9,7532,['Center Attacking Midfield'],3,1,0,67,2,1,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Aaron Mooy,7.4,7530,['Left Center Midfield'],0,0,0,75,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Raphaël Varane,7.5,7530,['Right Center Back'],0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Aziz Eraltay Behich,5.2,7530,['Left Back'],1,0,0,75,0,0,0,1,0,0,0,3,0,1,2,1,0,0,0,1,0,7530,6/16/2018,France,Australia,Group Stage
Corentin Tolisso,7.5,7530,['Right Center Midfield'],0,0,0,84,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7530,6/16/2018,France,Australia,Group Stage
Sergio Leonel Agüero del Castillo,7.9,7531,"['Center Forward', 'Left Center Forward']",3,1,1,80,1,0,0,3,0,0,0,0,0,0,5,1,1,0,0,0,0,7531,6/16/2018,Argentina,Iceland,Group Stage
Aron Einar Gunnarsson,6.7,7531,['Right Defensive Midfield'],0,0,0,55,1,0,0,3,0,0,0,2,0,0,1,1,0,0,0,0,0,7531,6/16/2018,Argentina,Iceland,Group Stage
Emil Hallfreðsson,6.9,7531,['Left Defensive Midfield'],0,0,0,88,0,0,1,5,0,0,0,2,0,0,1,0,1,1,0,0,0,7531,6/16/2018,Argentina,Iceland,Group Stage
Alex Iwobi,6.2,7529,['Left Defensive Midfield'],3,0,0,70,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
Benjamin Pavard,7.3,7530,['Right Back'],1,0,0,74,1,0,0,1,0,0,0,4,0,1,1,0,0,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Tom Rogić,6,7530,['Center Attacking Midfield'],0,0,0,93,0,0,1,0,0,0,0,2,0,0,3,1,0,0,0,0,0,7530,6/16/2018,France,Australia,Group Stage
Kári Árnason,6.7,7531,['Right Center Back'],0,0,0,59,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,7531,6/16/2018,Argentina,Iceland,Group Stage
Mathew Leckie,5.9,7530,['Right Midfield'],2,1,0,55,0,0,0,0,0,0,0,6,0,1,2,0,1,0,0,1,0,7530,6/16/2018,France,Australia,Group Stage
Ragnar Sigurðsson,6.5,7531,['Left Center Back'],0,0,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7531,6/16/2018,Argentina,Iceland,Group Stage
Henrik Dalsgaard,7.5,7532,['Right Back'],0,0,0,72,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Simon Thorup Kjær,6.7,7532,['Right Center Back'],0,0,0,89,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Thomas Delaney,7.1,7532,['Left Center Midfield'],2,0,0,72,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,0,7532,6/16/2018,Peru,Denmark,Group Stage
Christian Alberto Cueva Bravo,6.7,7532,['Center Attacking Midfield'],1,0,0,77,4,0,1,0,0,1,0,0,0,1,1,0,5,1,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Luis Jan Piers Advíncula Castrillón,7.2,7532,['Right Back'],2,1,0,95,0,0,3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Renato Fabrizio Tapia Cortijo,6.3,7532,['Right Center Midfield'],1,0,0,74,2,0,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,7532,6/16/2018,Peru,Denmark,Group Stage
Christian Guillermo Martín Ramos Garagay,7.3,7532,['Right Center Back'],0,0,0,81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Alberto Junior Rodríguez Valdelomar,6.8,7532,['Left Center Back'],2,0,0,83,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Šime Vrsaljko,6.9,7529,['Right Back'],1,0,0,80,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
André Martín Carrillo Díaz,7.3,7532,['Right Wing'],1,1,0,72,4,0,5,0,0,0,0,1,0,0,1,0,3,0,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Jens Stryger Larsen,7.1,7532,['Left Back'],1,0,0,79,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Nicolai Jørgensen,6.8,7532,['Center Forward'],1,0,0,40,1,0,0,1,0,0,0,3,0,0,3,0,1,0,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Yussuf Yurary Poulsen,8.2,7532,['Right Wing'],2,1,1,70,0,0,3,2,0,0,0,4,1,1,2,1,2,1,0,1,0,7532,6/16/2018,Peru,Denmark,Group Stage
Lasse Schöne,6.7,7532,['Right Center Midfield'],1,1,0,67,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,7532,6/16/2018,Peru,Denmark,Group Stage
Andrej Kramarić,7,7529,['Center Attacking Midfield'],2,0,0,56,0,0,3,0,0,0,0,0,0,2,1,0,1,0,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
Mario Mandžukić,7.3,7529,['Center Forward'],2,0,0,64,3,0,0,0,0,1,0,4,0,1,0,0,1,0,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
Onyinye Wilfred Ndidi,7.2,7529,['Right Center Midfield'],0,0,0,81,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7529,6/16/2018,Croatia,Nigeria,Group Stage
