match_id,match_date,home_team,home_logo,away_team,away_logo
3869519,12/13/2022,Argentina,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Argentina_national_football_team_logo.svg/250px-Argentina_national_football_team_logo.svg.png?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,Croatia,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Croatia_national_football_team_logo.svg/960px-Croatia_national_football_team_logo.svg.png?utm_source=en.wikipedia.org&utm_campaign=index&utm_content=thumbnail
3869552,12/14/2022,France,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/France_national_football_team_seal.svg/960px-France_national_football_team_seal.svg.png?utm_source=en.wikipedia.org&utm_campaign=index&utm_content=thumbnail,Morocco,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Royal_Moroccan_Football_Federation_logo.svg/250px-Royal_Moroccan_Football_Federation_logo.svg.png?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
3869684,12/17/2022,Croatia,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Croatia_national_football_team_logo.svg/960px-Croatia_national_football_team_logo.svg.png?utm_source=en.wikipedia.org&utm_campaign=index&utm_content=thumbnail,Morocco,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Royal_Moroccan_Football_Federation_logo.svg/250px-Royal_Moroccan_Football_Federation_logo.svg.png?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
3869685,12/18/2022,Argentina,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Argentina_national_football_team_logo.svg/250px-Argentina_national_football_team_logo.svg.png?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail,France,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/France_national_football_team_seal.svg/960px-France_national_football_team_seal.svg.png?utm_source=en.wikipedia.org&utm_campaign=index&utm_content=thumbnail
