"","Catcher_Full_Name","Base","avg_TS","avg_Exchange","avg_Accuracy","avg_Teamwork"
"1","Garver, Mitch","2B",-0.00272727272727273,-0.0436363636363636,-0.0390909090909091,0.139090909090909
"2","Hedges, Austin","2B",-0.0368181818181818,0.0213636363636364,-0.01,0.0454545454545455
"3","Heim, Jonah","2B",0.0322641509433962,-0.0232075471698113,0.0279245283018868,0.0539622641509434
"4","Heim, Jonah","3B",0.014,0.002,0.022,0.054
