"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SI","2023-04-04","102.6","0.88","6.12","Chapman, Aroldis",666182,547973,"strikeout","swinging_strike",,,,,14,"Bo Bichette strikes out swinging. George Springer steals (2) 3rd base.","R","R","L","KC","TOR","S",2,,0,2,2023,"0.97","1.17",1.1666427982158218,2.5744512084445943,,543807,,1,9,"Top",,,,,,,-1.5863662983958664,-149.3474066044695,-7.742682518696338,14.983797409920776,35.36131265195539,-13.026571790961018,3.6,1.67,,,,"104.3",2549,"7.2",718708,521692,686469,670032,622110,677951,658668,598265,681987,"53.35",,0,"0",1,0,0,,66,5,"Sinker",1,4,4,1,4,1,4,1,"Standard","Standard",159,"0.002","-0.19",,,,,"0.19",,-3,3,0.033,0.967,35,25,35,25,1,4,3,1,3,1,"0.99","0.97","-0.97","44.4",,,,,
"FC","2023-07-03","102","-1.83","5.39","Doval, Camilo",672284,666808,,"ball",,,,,14,,"R","L","R","SF","SEA","B",,,0,1,2023,"-0.7","1.37",2.381517077849368,1.1091073008763848,,677594,,1,9,"Top",,,,,,,13.738876173855738,-147.63686333914254,-10.199199496683978,-13.514505825967868,34.25829088511312,-9.748583618797182,3.60441610852907,1.77148676897418,,,,"103.5",2511,"7.3",717516,666165,664774,689172,605204,543063,592626,682641,573262,"53.19",,,,,,,,68,2,"Cutter",2,5,5,2,5,2,5,2,"Standard","Standard",238,"-0.007","0.024",,,,,"-0.024",,-3,3,0.032,0.968,25,23,26,24,1,4,3,1,2,1,"0.84","0.7","-0.7","19.7",,,,,
"FF","2023-08-19","100.7","-1.61","6.33","Graterol, Brusdar",660821,660813,,"ball",,,,,11,,"R","L","R","LAD","MIA","B",,,2,2,2023,"-0.73","0.95",-0.4044279601941523,4.028896749945787,,665862,541645,2,9,"Top",,,,,,,5.018111676432804,-146.6779368788615,-3.290122908541581,-11.75406196004283,33.90898926149163,-17.83996758740739,3.51041498960741,1.71012872364932,,,,"99.5",2050,"5.5",716926,669257,518692,642708,571771,500743,621035,681546,605141,"54.98",,,,,,,,64,5,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Strategic","Standard",230,"-0.054","0.064",,,,,"-0.064",,2,-2,0.934,0.06599999999999995,24,25,25,26,1,0,3,0,4,2,"1.29","0.73","-0.73","36.5",,,,,
"FF","2023-03-30","100.4","-2.48","6.01","Greene, Hunter",595978,668881,,"called_strike",,,,,5,,"R","R","R","CIN","PIT","S",,,0,0,2023,"-1.46","1.29",-0.022097877791089404,2.190605016962312,,678225,,1,4,"Top",,,,,,,10.241798871455872,-145.59091668157205,-8.201271108327749,-23.21950807990995,36.1887064099319,-11.978296753688428,3.11944210226761,1.63903731094109,,,,"100",2462,"6.4",718773,663886,613564,663697,668715,676480,666181,670770,571976,"54.09",,,,,,,,32,1,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",230,"-0.025","-0.038",,,,,"0.038",,0,0,0.476,0.524,23,30,24,31,2,1,,,8,2,"1","1.46","1.46","26.2",,,,,
"FF","2023-05-05","99.7","-1.42","5.97","Hernández, Carlos",676116,672578,,"ball",,,,,11,,"R","L","R","KC","ATH","B",,,1,2,2023,"-0.6","1.5",-1.0380113299042046,4.760495130790423,,665923,,1,9,"Top",,,,,,,2.474608798814829,-145.28002485597528,-1.4775036113477422,-9.030100710367302,34.269566605687594,-10.822640880100474,3.39655627906498,1.59978847999771,,,,"100.3",2364,"6.6",718299,521692,668472,622110,641531,672580,658668,598265,669004,"53.94",,,,,,,,85,5,"4-Seam Fastball",8,11,11,8,11,8,11,8,"Standard","Standard",213,"-0.006","0.04",,,,,"-0.04",,-3,3,0.032,0.968,26,27,26,27,1,5,3,1,2,1,"0.79","0.6","-0.6","47.2",,,,,
"SI","2023-07-08","99.4","-2.33","5.21","Peguero, Elvis",641584,665625,,"ball",,,,,14,,"R","L","R","MIL","CIN","B",,,1,2,2023,"-1.29","0.33",0.9693048833195648,1.197019514367312,,682829,,2,7,"Top",,,,,,,12.28660389080777,-144.12409788876684,-6.444674367005166,-20.799681783704095,32.181298327901196,-26.256752748166654,3.26973144208643,1.5162052929338,,,,"101.2",1830,"7.4",717444,661388,680911,668930,605119,642715,606132,686894,663368,"53.11",,,,,,,,60,4,"Sinker",5,6,6,5,6,5,6,5,"Standard","Standard",244,"-0.011","0.015",,,,,"-0.015",,-1,1,0.336,0.6639999999999999,26,28,26,28,1,3,2,1,1,1,"1.99","1.29","-1.29","23.0",,,,,
"FF","2023-08-14","99.3","-1.8","6.13","Hernández, Carlos",553993,672578,,"foul_tip",,,,,12,,"R","R","R","KC","SEA","S",,,0,1,2023,"-1","1.33",0.8446723765431766,2.5410683644347767,,677594,,1,8,"Top",,,,,,,9.591746177332313,-144.16031989252778,-7.553674852954912,-16.126159956448763,32.54952687639877,-11.938215469530235,3.45,1.61,,,,"99.5",2511,"6.5",716994,521692,622110,686681,672580,677951,680118,664728,671221,"54.03",,,,,,,,64,2,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard",224,"-0.001","-0.069","72.1","7.2",,,"0.069",,2,-2,0.846,0.15400000000000003,26,31,26,32,1,3,2,1,3,1,"0.98","1","1","33.8",6.2341683114557735,24.38317775732865,34.61147253570928,44.991104584753074,17.945666404039706
"SI","2023-08-31","99.2","-1.24","5.47","Abreu, Albert",670097,656061,,"ball",,,,,8,,"R","R","R","DET","NYY","B",,,0,1,2023,"-1.18","1.18",-0.02877752192062477,1.444122536844727,,678009,,1,8,"Bot",,,,,,,6.11003362636468,-144.2982983446543,-8.459410279855584,-17.88019926176582,30.541690371199067,-13.88596908916786,3.24510836515546,1.54260121193659,,,,"100.2",2129,"6.7",716775,543309,518934,650402,672724,683011,677592,643396,665828,"53.83",,,,,,,,61,2,"Sinker",3,0,3,0,0,3,3,0,"Standard","Standard",222,"0.006","0.024",,,,,"-0.024",,3,3,0.974,0.974,27,28,28,28,1,3,4,6,7,1,"1.12","1.18","1.18","39.1",,,,,
"FF","2023-04-25","99.2","0.65","6.13","Chapman, Aroldis",656896,547973,,"called_strike",,,,,8,,"R","R","L","AZ","KC","S",,,1,0,2023,"0.23","1.64",0.06763071471675672,1.948274880536426,,682998,666971,1,8,"Bot",,,,,,,-2.1714852149509736,-144.03546789082358,-9.938507501965642,3.7645644792512507,36.65521582561205,-7.252450412752049,3.55677645300536,1.65888728208453,,,,"100.5",2368,"7.3",718422,521692,686469,686681,670032,677951,658668,664728,598265,"53.16",,,,,,,,69,2,"4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard",160,"0.026","-0.051",,,,,"0.051",,-3,-3,0.164,0.164,35,27,35,27,1,0,1,,4,1,"0.71","0.23","-0.23","48.6",,,,,
"FF","2023-08-12","99.2","-2.12","5.21","Muñoz, Andrés",623993,662253,,"ball",,,,,12,,"R","L","R","SEA","BAL","B",,,1,1,2023,"-0.69","1.33",0.9296446568535713,2.6972945655470073,,656775,,0,10,"Top",,,,,,,9.941550930306413,-144.0444308250157,-4.5340801208355215,-11.944446751086739,34.89979545364537,-12.732548453640272,3.30130321067968,1.54958468412978,,,,"99",2319,"6.4",717018,608596,664034,668942,553993,664238,687799,677594,606192,"54.12",,,,,,,,66,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",220,"-0.092","0.05",,,,,"-0.05",,0,0,0.505,0.495,24,28,24,29,1,3,4,1,1,1,"1","0.69","-0.69","27.3",,,,,
