"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CH","2023-09-28","81.6","1.37","6.8","Montgomery, Jordan",606192,656756,"field_out","hit_into_play",,,,,6,"Teoscar Hernandez grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.","R","R","L","SEA","TEX","X",5,"ground_ball",1,0,2023,"0.61","1.08",0.4587960650302533,2.624426056157401,,553993,,0,6,"Bot",91.71,162.73,,,,,-3.2351473528902073,-118.92714512135355,-5.015873348417214,6.397717132291499,19.487286789557785,-21.15729774380839,3.41,1.59,18,"86.6",-8,"82.4",1492,"6.4",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.12",0.168,0.158,"0",1,0,0,2,43,2,"Changeup",1,2,1,2,2,1,1,2,"Standard","Standard",130,"-0.077","-0.25","76.8","8.3",,0.215,"0.25","88.0",-1,-1,0.509,0.509,30,30,31,31,3,2,5,1,5,1,"2.29","0.61","-0.61","53.3",20.9089850270012,-11.006096299097498,30.40690547577796,41.54428587450647,37.34538923698281
"FF","2023-09-28","91.9","1.64","6.81","Montgomery, Jordan",606192,656756,,"ball",,,,,11,,"R","R","L","SEA","TEX","B",,,0,0,2023,"0.32","1.37",-0.013874592565165988,4.074096027203633,,553993,,0,6,"Bot",,,,,,,-4.915098942763907,-133.90865140263404,-4.158667002792577,4.8048306740166655,25.43430768539089,-14.909839557948441,3.45825188572298,1.61667781521513,,,,"92.8",2144,"6.5",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.02",,,,,,,,43,1,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",151,"0.005","0.036",,,,,"-0.036",,-1,-1,0.504,0.504,30,30,31,31,3,2,5,1,5,1,"1.29","0.32","-0.32","47.7",,,,,
"FF","2023-09-28","93.6","1.75","6.69","Montgomery, Jordan",677594,656756,"field_out","hit_into_play",,,,,13,"Julio Rodriguez grounds out to first baseman Nathaniel Lowe.","R","R","L","SEA","TEX","X",3,"ground_ball",2,0,2023,"0.47","1.36",-0.8676594936176568,2.0143207285386033,,,641487,2,5,"Bot",157.13,169.31,,,,,-7.8076952431455755,-135.9287857295919,-9.387964158551778,7.383766389525713,27.318499077701215,-13.404775535134213,3.26,1.49,73,"61.4",7,"94.1",2318,"6.5",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54",0.15,0.15,"0",1,0,0,2,37,3,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",144,"-0.045","-0.353","71.4","7.2",,0.197,"0.353","88.0",-1,-1,0.385,0.385,30,22,31,23,3,2,5,1,5,1,"1.23","0.47","-0.47","46.2",-14.122142660297413,17.762404886945443,41.574157965927185,27.980785101878382,21.614752631888454
"FF","2023-09-28","93.7","1.67","6.71","Montgomery, Jordan",677594,656756,,"ball",,,,,11,,"R","R","L","SEA","TEX","B",,,1,0,2023,"0.24","1.31",-0.6637364582146053,3.5153654406408883,,,641487,2,5,"Bot",,,,,,,-6.590046659494517,-136.39098952131002,-5.4914100388871985,4.353523075867769,27.163098713985768,-14.82197379741335,3.35211376429006,1.59539809264588,,,,"94.6",2317,"6.6",716397,641680,663993,543760,673962,608369,694497,665750,666969,"53.92",,,,,,,,37,2,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",151,"0.007","0.037",,,,,"-0.037",,-1,-1,0.378,0.378,30,22,31,23,3,2,5,1,5,1,"1.27","0.24","-0.24","48.5",,,,,
"FF","2023-09-28","92.9","1.69","6.76","Montgomery, Jordan",677594,656756,,"ball",,,,,12,,"R","R","L","SEA","TEX","B",,,0,0,2023,"0.62","1.31",0.332281947285481,4.148507213708789,,,641487,2,5,"Bot",,,,,,,-4.85933090543353,-135.31616775914134,-3.8260803679173754,8.597274820058747,27.393228681688125,-15.449598635309005,3.39457194998882,1.63795695973369,,,,"93.6",2337,"6.5",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.01",,,,,,,,37,1,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",152,"0.003","0.03",,,,,"-0.03",,-1,-1,0.375,0.375,30,22,31,23,3,2,5,1,5,1,"1.31","0.62","-0.62","45.2",,,,,
"SI","2023-09-28","91.7","1.45","6.79","Montgomery, Jordan",641487,656756,"single","hit_into_play",,,,,4,"J.P. Crawford singles on a line drive to left fielder Evan Carter. Jose Caballero out at 3rd on the throw, left fielder Evan Carter to third baseman Josh Jung.","R","L","L","SEA","TEX","X",7,"line_drive",1,2,2023,"1.35","0.88",-0.3361866756821512,2.360527253403966,,,676609,1,5,"Bot",64.32,121.67,,,,,-7.446698769620253,-133.23381191533244,-7.216840826293777,17.644621249445528,29.042411373257423,-20.335130373883736,3.24,1.53,234,"79.5",21,"91.8",2214,"6.5",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.05",0.876,0.813,"0.9",1,1,0,4,36,4,"Sinker",1,2,1,2,2,1,1,2,"Infield shade","Standard",148,"-0.031","0.487","72.7","7.2",,0.958,"-0.487","88.0",-1,-1,0.406,0.406,30,28,31,28,3,2,5,1,5,1,"1.85","1.35","1.35","45.9",-6.706689855569614,10.267778941731947,33.52399052699174,42.86736506907235,25.883295495169286
"SI","2023-09-28","89.9","1.42","6.83","Montgomery, Jordan",641487,656756,,"called_strike",,,,,3,,"R","L","L","SEA","TEX","S",,,1,1,2023,"1.38","0.82",0.30309489531503986,3.050714288926593,,,676609,1,5,"Bot",,,,,,,-5.7328017407827865,-130.7614598980793,-5.152094844335213,17.08885406389775,27.10643470540926,-21.89745038211497,3.22046816794264,1.53155551701897,,,,"90.4",2127,"6.6",716397,641680,663993,543760,673962,608369,694497,665750,666969,"53.94",,,,,,,,36,3,"Sinker",1,2,1,2,2,1,1,2,"Standard","Standard",146,"-0.012","-0.055",,,,,"0.055",,-1,-1,0.418,0.418,30,28,31,28,3,2,5,1,5,1,"2","1.38","1.38","51.2",,,,,
"SI","2023-09-28","91","1.42","6.8","Montgomery, Jordan",641487,656756,,"called_strike",,,,,1,,"R","L","L","SEA","TEX","S",,,1,0,2023,"1.31","0.84",-0.7385881522264697,2.8370792517626806,,,676609,1,5,"Bot",,,,,,,-8.24164837474315,-132.29867773036383,-5.851109552526131,17.118761953185874,27.334214125806277,-21.267559167722688,3.22046816794264,1.51027354263251,,,,"91.3",2071,"6.4",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.05",,,,,,,,36,2,"Sinker",1,2,1,2,2,1,1,2,"Standard","Standard",150,"-0.008","-0.053",,,,,"0.053",,-1,-1,0.426,0.426,30,28,31,28,3,2,5,1,5,1,"1.91","1.31","1.31","48.6",,,,,
"SI","2023-09-28","89.2","1.45","6.84","Montgomery, Jordan",641487,656756,,"ball",,,,,11,,"R","L","L","SEA","TEX","B",,,0,0,2023,"1.11","1.1",-0.3966834675205788,3.7922096439798327,,,676609,1,5,"Bot",,,,,,,-6.89899435934852,-129.77716137001275,-3.812476590808123,13.944963136727981,25.93513124698264,-19.127421139917253,3.24595151954682,1.51027354263251,,,,"89.6",2032,"6.4",716397,641680,663993,543760,673962,608369,694497,665750,666969,"54.07",,,,,,,,36,1,"Sinker",1,2,1,2,2,1,1,2,"Standard","Standard",144,"0.006","0.036",,,,,"-0.036",,-1,-1,0.42,0.42,30,28,31,28,3,2,5,1,5,1,"1.76","1.11","1.11","47.3",,,,,
"FF","2023-09-28","92.9","1.64","6.69","Montgomery, Jordan",664034,656756,"field_out","hit_into_play",,,,,2,"Ty France pops out to second baseman Marcus Semien.","R","R","L","SEA","TEX","X",4,"popup",2,2,2023,"0.86","1.42",-0.14780634369229262,2.791058254039206,,663728,664238,2,4,"Bot",132.89,124.12,,,,,-6.481704308587197,-135.0699295753905,-7.378473671325268,11.846870717569656,27.782886770649686,-13.31791184844754,3.28,1.49,191,"96.4",62,"93.5",2330,"6.6",716397,641680,663993,543760,673962,608369,694497,665750,666969,"53.93",0.029,0.034,"0",1,0,0,3,30,5,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",145,"-0.05","-0.246","72.6","7.8",,0.042,"0.246","96.4",-1,-1,0.412,0.412,30,28,31,29,2,1,5,1,5,1,"1.21","0.86","-0.86","49.3",24.87930301887493,-7.9152907520641955,31.651114023094383,32.60071363111362,32.09286379043796
